old,new
Measuring urban rainfall using microwave links from commercial.pdf,n.d. - Measuring urban rainfall using microwave links from commercial cellular communication networks.pdf
Estimating rainfall intensity based on surveillance audio and deep-.pdf,2024 - Estimating rainfall intensity based on surveillance audio and deep-learning.pdf
Rainfall Monitoring Using Cellular Networks.pdf,2007 - Rainfall Monitoring Using Cellular Networks.pdf
Comparison of three types of laser optical.pdf,2019 - Comparison of three types of laser optical disdrometers under natural rainfall conditions.pdf
sensors-22-06638.pdf,"n.d. - Development and Calibration of a Low-Cost, Piezoelectric Rainfall Sensor through Machine Learning.pdf"
Commercial microwave links instead of rain gauges.pdf,2014 - Commercial microwave links instead of rain gauges fiction or reality.pdf
Improved radar data processing algorithms for.pdf,2009 - Improved radar data processing algorithms for quantitative rainfall estimation in real time.pdf
Real-Time Rainfall Forecasts Based on Radar Reflectivity.pdf,n.d. - Real-Time Rainfall Forecasts Based on Radar Reflectivity during Typhoons Case Study in Southeastern Taiwan.pdf
Developments in radar and remote-sensing.pdf,2002 - Developments in radar and remote-sensing methods for measuring and forecasting rainfall.pdf
Radar–raingauge data combination techniques a revision.pdf,2013 - Radar-raingauge data combination techniques a revision and analysis of their suitability for urban hydrology.pdf
"Dataset on raindrop size distribution, raindrop.pdf","2020 - Dataset on raindrop size distribution, raindrop fall velocity and precipitation data measured by disdrometers.pdf"
sensors-21-06321.pdf,n.d. - On the Use of Dynamic Calibration to Correct Drop Counter Rain Gauge Measurements.pdf
Tipping_Bucket_Rain_Gauges_in_Hydrological_Researc.pdf,"n.d. - Tipping Bucket Rain Gauges in Hydrological Research Summary on Measurement Uncertainties, Calibration, and.pdf"
sensors-22-05486.pdf,n.d. - Development of an Inductive Rain Gauge.pdf
High-Resolution_Rainfall_Estimation_Using_Ensemble.pdf,n.d. - High-Resolution Rainfall Estimation Using Ensemble Learning Techniques and Multisensor Data Integration.pdf
Recording_Rainfall_Intensity_Has_an_Optimum_Method.pdf,n.d. - Recording Rainfall Intensity Has an Optimum Method Been Found.pdf
Adjustment_of_one-minute_rain_gauge_time_series_us.pdf,2023 - Adjustment of one-minute rain gauge time series using co-located drop size distribution and wind speed.pdf
A_Review_and_Categorization_of_Rain_Depth_and_Rain.pdf,n.d. - A Review and Categorization of Rain Depth and Rainfall Intensity Measurement Methods.pdf
Wind speed estimation for the correction of wind-caused.pdf,2023 - Wind speed estimation for the correction of wind-caused errors in historical precipitation data.pdf
Adaptation_of_RainGaugeQC_algorithms_for_quality_c.pdf,n.d. - Adaptation of RainGaugeQC algorithms for quality control of rain gauge data from professional and.pdf
Comparative_study_of_rainfall_measurement_by_optic.pdf,"n.d. - Comparative study of rainfall measurement by optical disdrometer, tipping-bucket rain gauge, and weighing.pdf"
Improvement_of_Rainfall_Measurements_by_Using_a_Du.pdf,n.d. - Improvement of Rainfall Measurements by Using a Dual Tipping Bucket Rain Gauge.pdf
Al-Wagdany_Article_EvaluationOfDualTipping-Bucket.pdf,n.d. - Evaluation of Dual Tipping-Bucket Rain Gauges Measurement in Arid Region Western Saudi Arabia.pdf
Rainfall-Altitude_Relationship_in_Saudi_Arabia.pdf,2013 - Rainfall-Altitude Relationship in Saudi Arabia.pdf
DevelopementofanInductiveRainGauge.pdf,n.d. - Development of an Inductive Rain Gauge (2).pdf
Utilizing Piezo Acoustic Sensors for the Identification of.pdf,n.d. - Utilizing Piezo Acoustic Sensors for the Identification of.pdf
Geophysical Research Letters - 2024 - Xavier - Measuring Amazon Rainfall Intensity With Sound Recorders.pdf,n.d. - Measuring Amazon Rainfall Intensity With Sound.pdf
Windspeedestimationforthecorrectionofwind-causederrorsinhistoricalprecipitationdata.pdf,n.d. - Wind speed estimation for the correction of wind-caused.pdf
The WMO precipitation measurement intercomparisons.pdf,2009 - The WMO precipitation measurement intercomparisons.pdf
A_Circular_Touch_Mode_Capacitive_Rainfall_Sensor_A.pdf,n.d. - A Circular Touch Mode Capacitive Rainfall Sensor Analytical Solution and Numerical Design and Calibration.pdf
A_Review_of_Rainfall_Estimation_in_Indonesia_Data_.pdf,"n.d. - A Review of Rainfall Estimation in Indonesia Data Sources, Techniques, and Methods.pdf"
Evaluation_of_Numerous_Kinetic_Energy-Rainfall_Int.pdf,2020 - Evaluation of Numerous Kinetic Energy-Rainfall Intensity Equations Using Disdrometer Data.pdf
Developing_a_rainfall_estimation_model_using_XGBoo.pdf,n.d. - Developing a rainfall estimation model using XGBoost with Himawari-89 satellite and atmospheric data in East.pdf
Enhancing_rainfall_estimation_accuracy_with_machin.pdf,"n.d. - Enhancing rainfall estimation accuracy with machine learning, cloud masking, and multi-source data A case.pdf"
AMulti-SensorComparativeAnalysisonthe.pdf,n.d. - A Multi-Sensor Comparative Analysis on the Suitability of Generated DEM from Sentinel-1 SAR Interferometry.pdf
Research_on_Multi-Source_Precipitation_Fusion_Base.pdf,n.d. - Research on Multi-Source Precipitation Fusion Based on Classification and Regression Machine Learning.pdf
Precipitation_Prediction_and_Factor_Interpretation.pdf,n.d. - Precipitation Prediction and Factor Interpretation at Maqu Station in the Eastern Qinghai-Tibet Plateau Based.pdf
Machine_Learning_Model-Based_Retrieval_of_Temperat.pdf,2021 - Machine Learning Model-Based Retrieval of Temperature and Relative Humidity Profiles Measured by Microwave.pdf
Improving_Atmospheric_Temperature_and_Relative_Hum.pdf,n.d. - Improving Atmospheric Temperature and Relative Humidity Profiles Retrieval Based on Ground-Based Multichannel.pdf
Low-Level_Wind_Shear_Characteristics_in_the_Qingha.pdf,2023 - Low-Level Wind Shear Characteristics in the Qinghai-Tibet Plateau by Long-Term Wind Lidar Observations and.pdf
remotesensing-15-00156-v2.pdf,2020 - Evaluation of Numerous Kinetic Energy-Rainfall Intensity Equations Using Disdrometer Data (2).pdf
remotesensing-15-00156.pdf,2020 - Evaluation of Numerous Kinetic Energy-Rainfall Intensity Equations Using Disdrometer Data (3).pdf
Quantifying_the_Wind-Induced_Bias_of_Rainfall_Meas.pdf,n.d. - Quantifying the Wind‐Induced Bias of Rainfall Measurements for the Thies CLIMA Optical Disdrometer.pdf
Raindrop_Deformation_in_Turbulence.pdf,n.d. - Raindrop Deformation in Turbulence - Abstract and Figures.pdf
Wind_and_Turbulence_Effects_on_Raindrop_Fall_Speed.pdf,n.d. - Wind and Turbulence Effects on Raindrop Fall Speed.pdf
Drop Shapes and Fall Speeds in Rain Two Contrasting Examples.pdf,n.d. - Drop Shapes and Fall Speeds in Rain Two Contrasting Examples.pdf
Do_all_raindrops_fall_at_terminal_speed.pdf,n.d. - Do all raindrops fall at terminal speed.pdf
Raindrop_fall_velocity_in_turbulent_flow_an_observ.pdf,n.d. - Raindrop fall velocity in turbulent flow an observational study.pdf
What_is_a_Raindrop_Size_Distribution.pdf,2001 - What is a Raindrop Size Distribution.pdf
Effect_Size_Estimates_Current_Use_Calculations_and.pdf,"n.d. - Effect Size Estimates Current Use, Calculations, and Interpretation.pdf"
fenvs-10-985516.pdf,2020 - Comprehensive relationships between kinetic energy and rainfall intensity based on precipitation measurements.pdf
Seasonal_Variations_in_the_Rainfall_Kinetic_Energy.pdf,n.d. - Seasonal Variations in the Rainfall Kinetic Energy Estimation and the Dual-Polarization Radar Quantitative.pdf
A new understanding of raindrop shape.pdf,2010 - A new understanding of raindrop shape.pdf
Ayub_Mohammadi_et_al_2020_sensors_b.pdf,n.d. - A Multi-Sensor Comparative Analysis on the Suitability of Generated DEM from Sentinel-1 SAR Interferometry (2).pdf
Classified_Early_Warning_and_Forecast_of_Severe_Co.pdf,2021 - Classified Early Warning and Forecast of Severe Convective Weather Based on LightGBM Algorithm.pdf
Published1IEEEpaper_Rainfall_Estimation_Using_Machine_Learning-ICELTIC.pdf,"2022 - Rainfall Estimation Using Machine Learning Approaches with Raingauge, Radar, and Satellite Data.pdf"
An_attention-based_LSTM_model_for_long-term_runoff.pdf,n.d. - An attention-based LSTM model for long-term runoff forecasting and factor recognition.pdf
hess-26-2969-2022.pdf,2022 - A two-step merging strategy for incorporating multi-source precipitation products and gauge observations.pdf
On_the_use_of_disdrometer_data_for_characterizatio.pdf,2025 - On the use of disdrometer data for characterization of precipitation episodes in the Basque Country.pdf
2024_TECO-2024_Gaztelumendi_Comparativestudyofrainmeasurementbyopticaldisdrometersandtipping-bucketraingaugesinBasqueCountry.pdf,n.d. - Comparative study of rain measurement by optical disdrometers and tipping-bucket rain gauges in Basque Country.pdf
Evaluation_of_precipitation_measurements_obtained_.pdf,2021 - Evaluation of precipitation measurements obtained from different types of rain gauges.pdf
Brief_communication_The_potential_use_of_low-cost_.pdf,2023 - Brief communication The potential use of low-cost acoustic sensors to detect rainfall for short-term urban.pdf
Development_of_an_Automatic_Portable_Calibrator_fo.pdf,n.d. - Development of an Automatic Portable Calibrator for Tipping Bucket Rain Gauge (TBRG) Using a Load Cell and.pdf
A_benchmark_laboratory_calibration_dataset_for_tip.pdf,2025 - A benchmark laboratory calibration dataset for tipping-bucket rain gauges comparison of manual burette and.pdf
Calibrate_Tipping_Bucket.pdf,1997 - A New Method for Automated Dynamic Calibration of Tipping-Bucket Rain Gauges.pdf
Sampling_Errors_of_Tipping-Bucket_Rain_Gauge_Measu.pdf,2001 - Sampling Errors of Tipping-Bucket Rain Gauge Measurements.pdf
UnderstandingtheMechanicalBiasesofTipping-BucketRain.pdf,n.d. - Understanding the Mechanical Biases of Tipping-Bucket Rain Gauges A Semi-Analytical Calibration Approach.pdf
THE_BLIND_SIDE_OF_A_RAIN_GAUGES_NETWORK_INTRODUCTO.pdf,"2025 - THE BLIND SIDE OF A RAIN GAUGES NETWORK INTRODUCTORY THEORETICAL APPROACH, WITH A FIRST EXAMPLE OF.pdf"
Development_of_Experimental_Low-Cost_Rain_Gauges_a.pdf,n.d. - Development of Experimental Low-Cost Rain Gauges and their Evaluation During a High Intensity Storm Event.pdf
Numerical_simulation_studies_of_rain_gage_data_cor.pdf,n.d. - Numerical simulation studies of rain gage data correction due to wind effect.pdf
Relationships_between_lightning_and_rainfall_inten.pdf,2010 - Relationships between lightning and rainfall intensities during rainy events in Cyprus.pdf
Segovia-Cardozoetal2021water-13-02285.pdf,n.d. - Understanding the Mechanical Biases of Tipping-Bucket Rain Gauges A Semi-Analytical Calibration Approach (2).pdf
A_Novel_Electromagnetic_Wave_Rain_Gauge_and_its_Av.pdf,n.d. - A Novel Electromagnetic Wave Rain Gauge and its Average Rainfall Estimation Method.pdf
Design_of_a_dual_tipping-bucket_rain_gauge_acquisi.pdf,n.d. - Design of a dual tipping-bucket rain gauge acquisition system with multi-source sensor fusion.pdf
AGMET-2017_TB_R2_ENG_2019-02-26_RG.pdf,2019 - Dynamic real-time volumetric correction for tipping-bucket rain gauges.pdf
Lengfeldetal_2020_Environ._Res._Lett._10.1088_1748-9326_ab98b4.pdf,n.d. - Use of radar data for characterizing extreme precipitation at fine scales and short durations.pdf
Optimal_Design_of_a_Rain_Gauge_Network_Models_Revi.pdf,2019 - Optimal Design of a Rain Gauge Network Models Review Paper.pdf
20190802_PublishedArticle_16517747.pdf,2019 - A Review of Radar‐Rain Gauge Data Merging Methods and Their Potential for Urban Hydrological Applications.pdf
Adjustment_of_one_minute_rain_gauge_time.pdf,n.d. - Adjustment of one-minute rain gauge time series using co-located drop size distribution and wind speed.pdf
Drop_size_distribution_comparisons_between_Parsive.pdf,2011 - Drop size distribution comparisons between Parsivel and 2-D video disdrometers.pdf
