month_folder,n,rainy_frac,precision,recall,f1,roc_auc
September_2025_rainfall_data,14354,0.0,0.0,0.0,0.0,
October_2025_rainfall_data,19642,0.0,0.0,0.0,0.0,
November_2023_rainfall_audios_with_mech_data,601,0.0,0.0,0.0,0.0,
April_2024_rainfall_audios_with_mech_data,3027,0.004294681202510736,0.001364256480218281,0.07692307692307693,0.0026809651474530836,0.5835842989127661
May_2026_rainfall_data,6533,0.011020970457676412,0.0073964497041420114,0.06944444444444445,0.013368983957219251,0.7009707819566975
January_2025_rainfall_data,12648,0.006483238456672992,0.025622775800711744,0.43902439024390244,0.0484196368527236,0.6048046800697197
June_2026_rainfall_data_2,8744,0.035681610247026534,0.08383233532934131,0.5384615384615384,0.14507772020725387,0.7660773366418528
June_2026_rainfall_data,3113,0.07613234821715387,0.10625,0.6455696202531646,0.1824686940966011,0.6441670627864533
June_2025_Rainfall_data,13766,0.08811564724684004,0.13192419825072887,0.5968672712283595,0.21608715117146696,0.6379936702347422
December_2024_rain_data,35719,0.007279039166829979,0.13439490445859872,0.8115384615384615,0.23060109289617486,0.9642446205476748
May_2025_Rainfall_Data,4505,0.2339622641509434,0.3140625,0.19070208728652752,0.2373081463990555,0.5788553987321554
July_2024_rainfall_audios_with_mech_data,2641,0.12381673608481636,0.16785714285714284,0.43119266055045874,0.2416452442159383,0.6088917610925652
November_2024_Rainfall_Data,6628,0.062462281231140615,0.24027777777777778,0.8357487922705314,0.37324703344120824,0.9256614719139733
December_2023_rainfall_audios_with_mech_data,135,0.37777777777777777,0.40476190476190477,1.0,0.576271186440678,0.8468720821661998
Feb_to_Mar_2026_rainfall_data,12528,0.9291187739463601,0.9261518353120575,0.7304982817869415,0.8167715287450171,0.4615147847589858
September_2024_rainfall_audios_with_mech_data,1169,0.7442258340461934,0.7724329324699353,0.9597701149425287,0.8559712967708868,0.7235651405066698
May_2024_rainfall_audios_with_mechanical_data,2214,0.9074074074074074,0.9132093466857415,0.9532105525136884,0.9327812956648805,0.7641369932863091
August_2025_Rain_Data,3960,0.9045454545454545,0.9044489383215369,0.9988833054159687,0.9493234279649775,0.5383066124272154
